Dependency=proto_bldg_type	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11	Option=12	Option=13	Option=14	Option=15	Option=16	Option=17	Option=18	Option=19	Option=20	Option=21	Option=22	Option=23	Option=24	Option=25	Option=26	Option=27	Option=28	Option=29	Option=30	Option=31	Option=32	Option=33	Option=34	Option=35	Option=36	Option=37	Option=38	Option=39	Option=40	Option=41	Option=42	Option=43	Option=44	Option=45	Option=46	Option=47	Option=48	Option=49	Option=50	Option=over_50
full_service_restaurant	0E+8	0.002952840656590087753629501376	0.1678289568430781685760155156	0.1120281101743035254997902224	0.3291045383525380415827734019	0.02705027819145918619980418333	0.1921346709706011321833696655	0.01097372434851189010632465359	0.04365453632037805319310560085	0.03308241023879119535601911266	0.01027272547266379166770731154	0.005848397089910533930173599935	0.007519069628508778923100729954	0.005107000518604737065824783998	0.01123335342010623326777783099	0.003550355683366588523887339961	0E+8	0E+8	0.004056388167040550787089685217	0.008915130829119527896316761715	0.01691966433331916068239391824	0E+8	0E+8	0E+8	0.004790339192681774091331889542	0E+8	0E+8	0E+8	0E+8	0.002977509568427042713564291643	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8
hospital	0E+9	0E+9	0.4324756874689428263306443820	0.2331278338221934367412825496	0.09363599744945410856796213030	0.004625787564838749986111847840	0.09528171620048127342927473346	0.01406819483130474465630630886	0.07788741783292097917158827426	0.02685222244567262901304253479	0.01542202875411515979279456436	0.0009492710806736361882975434490	0.001285706306059596477599320619	0E+9	0.004388136243342859645095810373	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9
large_hotel	0E+9	0.01589120449519483801001752311	0.3588118324032689719951523573	0.2632117368168113245501486282	0.2538631733437534326904305254	0.007171222879324568874620015757	0.06615767509903614730251053171	0.003022589626588062486053963431	0E+9	0.01453756623815839472897950836	0.0002527363025979786288445330302	0E+9	0E+9	0E+9	0.01253740631487717137246397479	0E+9	0.002803580545351114265308014716	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0.001739275935037995095470424266	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9
medium_office	0E+9	0.03047400910659036931611913579	0.3219450202260617036331411881	0.2011443254503158696145871402	0.2309270289234815980679864764	0.01199310966817788635183888639	0.1178572951127256822687027377	0.01150863097778221470593050381	0.02731089624756188997311173344	0.01613320936888171626054518811	0.004770890711165694584641773814	0E+9	0.009391790504345627695982197491	0E+9	0.01493202098488182959479026633	0E+9	0E+9	0E+9	0E+9	0.00002933016080321798587255097972	0E+9	0E+9	0E+9	0E+9	0.001509690066084630472170724483	0E+9	0.00007275249114006947457949701442	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9
midrise_apartment	0E+9	0.04036049002593133440223186912	0.4412141036932253681122291749	0.1832900026509620080501432088	0.1710284858714205605481672161	0E+9	0.1210229615933371825345706062	0E+9	0E+9	0.003422629952897656031346639347	0.005157742453606084752873352433	0E+9	0E+9	0E+9	0.03450358375861980556843793308	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9
outpatient	0E+9	0.008109710539282039955695377621	0.4232350316508443116148683391	0.2072788373813350833098999156	0.1825287017301263256848108717	0.001695115549536984780901457593	0.1178307021810697004861882724	0.01217018287397423791914950227	0.01052473931856432221061512965	0.02719672802927545464142328519	0E+9	0E+9	0E+9	0E+9	0.008674770520190078558703155920	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0.0007554802258014608377446928790	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9
primary_school	0E+8	0.005893903017305768842845472346	0.2017746636776457991546226285	0.1882789056853945723781775165	0.3508951336257335553380552317	0.01167668295408555462487296994	0.09541022975060628202038935930	0.002010752102449410490989288572	0.003624664211841373989808671238	0.03383610417016218206633065743	0.04134849130011232807778744443	0.0007510451504092955098226860163	0.003692802573243255113745593316	0.001830199754624568053170711925	0.01731991281761070130189794869	0.005801613229880109701834428419	0.001830199754624568053170711925	0E+8	0.001580815382351839857978122517	0.02209163789304358755153779640	0E+8	0E+8	0E+8	0E+8	0.004644612278575875318486654593	0E+8	0E+8	0E+8	0E+8	0.003071391316757382229568438773	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0.001055423971190150466929545024	0E+8	0E+8	0E+8	0E+8	0.001580815382351839857978122517	0E+8
quick_service_restaurant	0E+8	0E+8	0.1552537657475146491672342228	0.1913562802650416120444060402	0.3590460518864593083766572279	0.01496455360598341101172091088	0.1359699018488438117600375521	0E+8	0.05254171429557268086060910265	0.04009076783911617004567689535	0.01296465195393472725297951084	0E+8	0.005252264262955764366812866311	0E+8	0.01382839061322978733068442934	0E+8	0E+8	0E+8	0.01873165768134807778318124159	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8
retail	0E+8	0E+8	0.1565566180569021524008007078	0.1033173727065095361215827794	0.2334401044442781349536675409	0.01965890073425991904984320767	0.1427760518227275280496090123	0.01175036759761761674842767466	0.06968730336858246182748351974	0.05972139311308856766319529173	0.04708852463046929312397375202	0.005589083111210097636490109573	0.02842892142450841779340617775	0.005698238680536223345429209361	0.06369138043363052719524676201	0.003456310906433222190195918870	0.0006937903687612596970518906062	0E+8	0.01181196668010920829210435891	0.008896651916994609556055678203	0E+8	0E+8	0.008043229303182641033000014392	0E+8	0.01362102963340626925719533138	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0.001085603281226670381385618163	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0.004987157785565643683855444532
secondary_school	0E+8	0E+8	0.1355577958581336601968300179	0.1819462045502531631949418177	0.3850826580802816980926535715	0.004420640974364747958306298215	0.1538557615153231174844865348	0.01219055206636291748573806793	0.01820477567024415636149489609	0.05849381463571543928246166343	0.01075088535064107054412375198	0.005519095581434409376538447248	0.005094202121221241226247443743	0E+8	0.01533828207863031435860274572	0E+8	0E+8	0E+8	0E+8	0.005586904016390016712914601836	0E+8	0E+8	0E+8	0E+8	0.005943235808329807942003919870	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0.002015191692674239782656221943
small_hotel	0E+8	0.02594853447612808264785677356	0.5836073933002804492138302722	0.07509550931345973043641951201	0.1486465199768093460613422631	0.01403095487384305147163949523	0.09365972772455473233873109689	0.006766725550919469318473873832	0.01019138406800964426893066567	0.02546876276382326622021061055	0.002879926795259162011011144079	0E+8	0E+8	0E+8	0.01370456115691306601155429287	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8
small_office	0E+9	0.004486618598842149101170536432	0.3272785991872894744427556077	0.1718874618729711204574796049	0.2604268620641612819605865042	0.004055303783635829559656109186	0.1061257212531311149387965372	0.004075096792583332382967321447	0.03188259969453307409317922335	0.03542241096265837017980677965	0.01758602128626395516070095806	0E+9	0E+9	0E+9	0.03126237634069615699502325344	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0.005510928163234140727877564436	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9
strip_mall	0.005405604612448477508704197301	0.01293469040967546508025581545	0.1648059348130313072710580730	0.1182236862703672752247553080	0.1784854411144258660060365287	0.03149984235791577670454231834	0.1920755310478808205597630730	0.001126121435837557481365541209	0.04931669617366563564134660878	0.05940968956925779663988162792	0.06247787496166101204901184941	0E+8	0.01048989304407247075216671189	0E+8	0.07581276968947186411044789149	0.001421077654391719517767682187	0.008434913055566187300704942488	0E+8	0.006676720635950571589079598825	0.01420604126783087885610593485	0E+8	0E+8	0E+8	0E+8	0.007197471886549317707006297100	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8
warehouse	0E+8	0.002883728762838512881935868189	0.1233336048358807204865133075	0.05886327870201621005603595872	0.1053449516723590376199041053	0.006450830883843439262620316490	0.1096196378454930523031724760	0.009641509500963507887464497786	0.1124719893647359441418232911	0.07010678696697995419558123607	0.05518990240970104861926979288	0.004006435530998200383602710011	0.04487153634928571156688196176	0.003063262162136268548882010458	0.1491610332921890244232172032	0.0003660020902547383346327423410	0.01159221271949127266738278506	0.0009065900920572187593312274009	0.01705208191318182534022731742	0.03804684412454493356376057581	0.003856146566454783742069630477	0.0007934845724948544008570820980	0.005137623533803720489952888408	0.0003066480374629217560827945946	0.02935592078147386606825300502	0E+8	0.002837671489019267870225226575	0.0002138664581490129037499140839	0.0006028897305582527144756575358	0.003538250534518074524516567764	0.004611925078100854683112509519	0E+8	0.003443212432404270843582760453	0E+8	0.01800268343148399655989204773	0E+8	0.00004378546935319690842971870648	0E+8	0E+8	0.0002499563890628210291865885119	0E+8	0E+8	0E+8	0E+8	0.003904301258372881441864436603	0.0001294150183366030215097883381
